key,value,date
healthcare,202,9/23/20
healthcare,253,9/24/20
healthcare,428,9/25/20
healthcare,386,9/26/20
healthcare,339,9/27/20
healthcare,130,9/28/20
healthcare,153,9/29/20
healthcare,2318,9/30/20
healthcare,285,10/1/20
healthcare,154,10/2/20
healthcare,31,10/3/20
healthcare,7,10/4/20
healthcare,180,10/5/20
healthcare,127,10/6/20
healthcare,49,10/7/20
healthcare,328,10/8/20
healthcare,257,10/9/20
healthcare,20,10/10/20
healthcare,68,10/11/20
healthcare,2,10/12/20
healthcare,102,10/13/20
healthcare,11,10/14/20
healthcare,2,10/15/20
healthcare,1037,10/16/20
healthcare,35,10/17/20
healthcare,2,10/18/20
healthcare,16,10/19/20
healthcare,8,10/20/20
healthcare,1,10/21/20
healthcare,591,10/22/20
healthcare,184,10/23/20
healthcare,80,10/24/20
healthcare,19,10/25/20
healthcare,65,10/26/20
healthcare,6,10/27/20
healthcare,21,10/28/20
healthcare,106,10/29/20
healthcare,92,10/30/20
healthcare,46,10/31/20
healthcare,38,11/1/20
healthcare,34,11/2/20
healthcare,12,11/3/20
military,9,8/1/20
military,157,8/2/20
military,136,8/3/20
military,37,8/4/20
military,30,8/5/20
military,5,8/6/20
military,14,8/7/20
military,10,8/8/20
military,16,8/9/20
military,19,8/10/20
military,17,8/11/20
military,31,8/12/20
military,8,8/13/20
military,12,8/14/20
military,10,8/15/20
military,15,8/16/20
military,5,8/17/20
military,68,8/18/20
military,903,8/19/20
military,86,8/20/20
military,33,8/21/20
military,15,8/22/20
military,8,8/23/20
military,8,8/24/20
military,27,8/25/20
military,5,8/26/20
military,432,8/27/20
military,33,8/28/20
military,19,8/29/20
military,7,8/30/20
military,42,8/31/20
military,814,9/1/20
military,507,9/2/20
military,22,9/3/20
military,189,9/4/20
military,2043,9/5/20
military,11,9/6/20
military,4136,9/7/20
military,515,9/8/20
military,237,9/9/20
military,98,9/10/20
military,89,9/11/20
military,336,9/12/20
military,215,9/13/20
military,126,9/14/20
military,85,9/15/20
military,62,9/16/20
military,114,9/17/20
military,13,9/18/20
military,27,9/19/20
military,10,9/20/20
military,8,9/21/20
military,11,9/22/20
military,498,9/23/20
military,61,9/24/20
military,624,9/25/20
military,8809,9/26/20
military,1061,9/27/20
military,250,9/28/20
military,26,9/29/20
military,1794,9/30/20
military,70,10/1/20
military,80,10/2/20
military,57,10/3/20
military,12,10/4/20
military,26,10/5/20
military,36,10/6/20
military,17,10/7/20
military,14,10/8/20
military,81,10/9/20
military,6,10/10/20
military,64,10/11/20
military,0,10/12/20
military,190,10/13/20
military,43,10/14/20
military,11,10/15/20
military,26,10/16/20
military,65,10/17/20
military,4,10/18/20
military,84,10/19/20
military,15,10/20/20
military,5,10/21/20
military,130,10/22/20
military,81,10/23/20
military,464,10/24/20
military,30,10/25/20
military,67,10/26/20
military,13,10/27/20
military,908,10/28/20
military,594,10/29/20
military,518,10/30/20
military,30,10/31/20
military,106,11/1/20
military,43,11/2/20
military,31,11/3/20
racism,72,8/1/20
racism,390,8/2/20
racism,384,8/3/20
racism,3169,8/4/20
racism,3009,8/5/20
racism,165,8/6/20
racism,371,8/7/20
racism,261,8/8/20
racism,150,8/9/20
racism,241,8/10/20
racism,291,8/11/20
racism,591,8/12/20
racism,212,8/13/20
racism,165,8/14/20
racism,234,8/15/20
racism,368,8/16/20
racism,90,8/17/20
racism,265,8/18/20
racism,228,8/19/20
racism,54,8/20/20
racism,676,8/21/20
racism,746,8/22/20
racism,32,8/23/20
racism,440,8/24/20
racism,815,8/25/20
racism,124,8/26/20
racism,7021,8/27/20
racism,746,8/28/20
racism,341,8/29/20
racism,208,8/30/20
racism,367,8/31/20
racism,107,9/1/20
racism,352,9/2/20
racism,276,9/3/20
racism,88,9/4/20
racism,220,9/5/20
racism,12,9/6/20
racism,279,9/7/20
racism,198,9/8/20
racism,301,9/9/20
racism,258,9/10/20
racism,189,9/11/20
racism,261,9/12/20
racism,110,9/13/20
racism,172,9/14/20
racism,155,9/15/20
racism,246,9/16/20
racism,306,9/17/20
racism,6,9/18/20
racism,243,9/19/20
racism,122,9/20/20
racism,48,9/21/20
racism,62,9/22/20
racism,426,9/23/20
racism,77,9/24/20
racism,2717,9/25/20
racism,852,9/26/20
racism,179,9/27/20
racism,78,9/28/20
racism,19,9/29/20
racism,4720,9/30/20
racism,247,10/1/20
racism,806,10/2/20
racism,898,10/3/20
racism,107,10/4/20
racism,58,10/5/20
racism,100,10/6/20
racism,974,10/7/20
racism,124,10/8/20
racism,236,10/9/20
racism,323,10/10/20
racism,143,10/11/20
racism,0,10/12/20
racism,213,10/13/20
racism,37,10/14/20
racism,9,10/15/20
racism,886,10/16/20
racism,1312,10/17/20
racism,95,10/18/20
racism,151,10/19/20
racism,80,10/20/20
racism,21,10/21/20
racism,525,10/22/20
racism,11380,10/23/20
racism,6703,10/24/20
racism,179,10/25/20
racism,1621,10/26/20
racism,187,10/27/20
racism,440,10/28/20
racism,626,10/29/20
racism,715,10/30/20
racism,169,10/31/20
racism,509,11/1/20
racism,1544,11/2/20
racism,610,11/3/20
taxes,30,8/1/20
taxes,16,8/2/20
taxes,21,8/3/20
taxes,29,8/4/20
taxes,17,8/5/20
taxes,5,8/6/20
taxes,15,8/7/20
taxes,19,8/8/20
taxes,21,8/9/20
taxes,21,8/10/20
taxes,81,8/11/20
taxes,33,8/12/20
taxes,19,8/13/20
taxes,24,8/14/20
taxes,39,8/15/20
taxes,38,8/16/20
taxes,8,8/17/20
taxes,30,8/18/20
taxes,32,8/19/20
taxes,6,8/20/20
taxes,192,8/21/20
taxes,40,8/22/20
taxes,2,8/23/20
taxes,12,8/24/20
taxes,21,8/25/20
taxes,21,8/26/20
taxes,28,8/27/20
taxes,133,8/28/20
taxes,70,8/29/20
taxes,51,8/30/20
taxes,29,8/31/20
taxes,6,9/1/20
taxes,11,9/2/20
taxes,35,9/3/20
taxes,23,9/4/20
taxes,19,9/5/20
taxes,0,9/6/20
taxes,17,9/7/20
taxes,39,9/8/20
taxes,26,9/9/20
taxes,20,9/10/20
taxes,24,9/11/20
taxes,9,9/12/20
taxes,24,9/13/20
taxes,52,9/14/20
taxes,13,9/15/20
taxes,41,9/16/20
taxes,15,9/17/20
taxes,2,9/18/20
taxes,4,9/19/20
taxes,7,9/20/20
taxes,1,9/21/20
taxes,1,9/22/20
taxes,12,9/23/20
taxes,2,9/24/20
taxes,12,9/25/20
taxes,60,9/26/20
taxes,15,9/27/20
taxes,170192,9/28/20
taxes,6598,9/29/20
taxes,6483,9/30/20
taxes,468,10/1/20
taxes,10633,10/2/20
taxes,6243,10/3/20
taxes,1069,10/4/20
taxes,1270,10/5/20
taxes,1932,10/6/20
taxes,1938,10/7/20
taxes,2095,10/8/20
taxes,3787,10/9/20
taxes,555,10/10/20
taxes,2691,10/11/20
taxes,84,10/12/20
taxes,1850,10/13/20
taxes,338,10/14/20
taxes,66,10/15/20
taxes,4758,10/16/20
taxes,2304,10/17/20
taxes,193,10/18/20
taxes,734,10/19/20
taxes,369,10/20/20
taxes,2197,10/21/20
taxes,8532,10/22/20
taxes,540,10/23/20
taxes,837,10/24/20
taxes,229,10/25/20
taxes,1444,10/26/20
taxes,168,10/27/20
taxes,931,10/28/20
taxes,862,10/29/20
taxes,2041,10/30/20
taxes,868,10/31/20
taxes,425,11/1/20
taxes,588,11/2/20
taxes,412,11/3/20
courts,0,8/1/20
courts,0,8/2/20
courts,0,8/3/20
courts,0,8/4/20
courts,0,8/5/20
courts,0,8/6/20
courts,0,8/7/20
courts,0,8/8/20
courts,0,8/9/20
courts,0,8/10/20
courts,0,8/11/20
courts,0,8/12/20
courts,0,8/13/20
courts,0,8/14/20
courts,0,8/15/20
courts,0,8/16/20
courts,0,8/17/20
courts,0,8/18/20
courts,0,8/19/20
courts,0,8/20/20
courts,0,8/21/20
courts,0,8/22/20
courts,0,8/23/20
courts,0,8/24/20
courts,0,8/25/20
courts,0,8/26/20
courts,0,8/27/20
courts,0,8/28/20
courts,0,8/29/20
courts,0,8/30/20
courts,0,8/31/20
courts,0,9/1/20
courts,0,9/2/20
courts,0,9/3/20
courts,0,9/4/20
courts,0,9/5/20
courts,0,9/6/20
courts,0,9/7/20
courts,0,9/8/20
courts,0,9/9/20
courts,0,9/10/20
courts,0,9/11/20
courts,0,9/12/20
courts,0,9/13/20
courts,9,9/14/20
courts,0,9/15/20
courts,0,9/16/20
courts,0,9/17/20
courts,0,9/18/20
courts,1,9/19/20
courts,0,9/20/20
courts,1,9/21/20
courts,1,9/22/20
courts,0,9/23/20
courts,0,9/24/20
courts,0,9/25/20
courts,0,9/26/20
courts,0,9/27/20
courts,0,9/28/20
courts,0,9/29/20
courts,112,9/30/20
courts,1,10/1/20
courts,2,10/2/20
courts,0,10/3/20
courts,0,10/4/20
courts,0,10/5/20
courts,0,10/6/20
courts,0,10/7/20
courts,0,10/8/20
courts,0,10/9/20
courts,0,10/10/20
courts,6,10/11/20
courts,0,10/12/20
courts,0,10/13/20
courts,0,10/14/20
courts,0,10/15/20
courts,0,10/16/20
courts,0,10/17/20
courts,0,10/18/20
courts,0,10/19/20
courts,0,10/20/20
courts,0,10/21/20
courts,0,10/22/20
courts,0,10/23/20
courts,0,10/24/20
courts,2,10/25/20
