key,value,political leaning,date
healthcare,2,liberal,8/3/20
healthcare,0,liberal,8/4/20
healthcare,0,liberal,8/5/20
healthcare,0,liberal,8/6/20
healthcare,0,liberal,8/7/20
healthcare,1,liberal,8/8/20
healthcare,1,liberal,8/9/20
healthcare,0,liberal,8/10/20
healthcare,0,liberal,8/11/20
healthcare,0,liberal,8/12/20
healthcare,0,liberal,8/13/20
healthcare,0,liberal,8/14/20
healthcare,0,liberal,8/15/20
healthcare,0,liberal,8/16/20
healthcare,0,liberal,8/17/20
healthcare,0,liberal,8/18/20
healthcare,0,liberal,8/19/20
healthcare,0,liberal,8/20/20
healthcare,0,liberal,8/21/20
healthcare,0,liberal,8/22/20
healthcare,0,liberal,8/23/20
healthcare,1,liberal,8/24/20
healthcare,0,liberal,8/25/20
healthcare,0,liberal,8/26/20
healthcare,0,liberal,8/27/20
healthcare,0,liberal,8/28/20
healthcare,0,liberal,8/29/20
healthcare,0,liberal,8/30/20
healthcare,0,liberal,8/31/20
healthcare,0,liberal,9/1/20
healthcare,0,liberal,9/2/20
healthcare,0,liberal,9/3/20
healthcare,0,liberal,9/4/20
healthcare,0,liberal,9/5/20
healthcare,0,liberal,9/6/20
healthcare,0,liberal,9/7/20
healthcare,0,liberal,9/8/20
healthcare,0,liberal,9/9/20
healthcare,1,liberal,9/10/20
healthcare,0,liberal,9/11/20
healthcare,0,liberal,9/12/20
healthcare,1,liberal,9/13/20
healthcare,0,liberal,9/14/20
healthcare,0,liberal,9/15/20
healthcare,3,liberal,9/16/20
healthcare,0,liberal,9/17/20
healthcare,3,liberal,9/18/20
healthcare,0,liberal,9/19/20
healthcare,0,liberal,9/20/20
healthcare,4,liberal,9/21/20
healthcare,0,liberal,9/22/20
healthcare,0,liberal,9/23/20
healthcare,2,liberal,9/24/20
healthcare,1,liberal,9/25/20
healthcare,1,liberal,9/26/20
healthcare,3,liberal,9/27/20
healthcare,0,liberal,9/28/20
healthcare,0,liberal,9/29/20
healthcare,2,liberal,9/30/20
healthcare,3,liberal,10/1/20
healthcare,0,liberal,10/2/20
healthcare,0,liberal,10/3/20
healthcare,0,liberal,10/4/20
healthcare,0,liberal,10/5/20
healthcare,1,liberal,10/6/20
healthcare,0,liberal,10/7/20
healthcare,5,liberal,10/8/20
healthcare,2,liberal,10/9/20
healthcare,0,liberal,10/10/20
healthcare,0,liberal,10/11/20
healthcare,3,liberal,10/12/20
healthcare,0,liberal,10/13/20
healthcare,1,liberal,10/14/20
healthcare,0,liberal,10/15/20
healthcare,0,liberal,10/16/20
healthcare,0,liberal,10/17/20
healthcare,0,liberal,10/18/20
healthcare,0,liberal,10/19/20
healthcare,0,liberal,10/20/20
healthcare,0,liberal,10/21/20
healthcare,0,liberal,10/22/20
healthcare,4,liberal,10/23/20
healthcare,2,liberal,10/24/20
healthcare,0,liberal,10/25/20
healthcare,1,liberal,10/26/20
healthcare,0,liberal,10/27/20
healthcare,0,liberal,10/28/20
healthcare,0,liberal,10/29/20
healthcare,0,liberal,10/30/20
healthcare,1,liberal,10/31/20
healthcare,0,liberal,11/1/20
healthcare,1,liberal,11/2/20
healthcare,0,liberal,11/3/20
military,0,liberal,8/1/20
military,0,liberal,8/2/20
military,0,liberal,8/3/20
military,0,liberal,8/4/20
military,0,liberal,8/5/20
military,0,liberal,8/6/20
military,0,liberal,8/7/20
military,0,liberal,8/8/20
military,0,liberal,8/9/20
military,0,liberal,8/10/20
military,0,liberal,8/11/20
military,1,liberal,8/12/20
military,0,liberal,8/13/20
military,0,liberal,8/14/20
military,0,liberal,8/15/20
military,0,liberal,8/16/20
military,0,liberal,8/17/20
military,0,liberal,8/18/20
military,1,liberal,8/19/20
military,0,liberal,8/20/20
military,0,liberal,8/21/20
military,0,liberal,8/22/20
military,0,liberal,8/23/20
military,1,liberal,8/24/20
military,0,liberal,8/25/20
military,0,liberal,8/26/20
military,0,liberal,8/27/20
military,0,liberal,8/28/20
military,0,liberal,8/29/20
military,0,liberal,8/30/20
military,0,liberal,8/31/20
military,0,liberal,9/1/20
military,0,liberal,9/2/20
military,0,liberal,9/3/20
military,2,liberal,9/4/20
military,2,liberal,9/5/20
military,0,liberal,9/6/20
military,0,liberal,9/7/20
military,2,liberal,9/8/20
military,0,liberal,9/9/20
military,0,liberal,9/10/20
military,1,liberal,9/11/20
military,0,liberal,9/12/20
military,0,liberal,9/13/20
military,0,liberal,9/14/20
military,0,liberal,9/15/20
military,0,liberal,9/16/20
military,0,liberal,9/17/20
military,0,liberal,9/18/20
military,0,liberal,9/19/20
military,0,liberal,9/20/20
military,0,liberal,9/21/20
military,0,liberal,9/22/20
military,0,liberal,9/23/20
military,0,liberal,9/24/20
military,0,liberal,9/25/20
military,0,liberal,9/26/20
military,0,liberal,9/27/20
military,0,liberal,9/28/20
military,0,liberal,9/29/20
military,3,liberal,9/30/20
military,1,liberal,10/1/20
military,0,liberal,10/2/20
military,0,liberal,10/3/20
military,0,liberal,10/4/20
military,0,liberal,10/5/20
military,0,liberal,10/6/20
military,0,liberal,10/7/20
military,0,liberal,10/8/20
military,0,liberal,10/9/20
military,0,liberal,10/10/20
military,0,liberal,10/11/20
military,0,liberal,10/12/20
military,0,liberal,10/13/20
military,0,liberal,10/14/20
military,0,liberal,10/15/20
military,0,liberal,10/16/20
military,0,liberal,10/17/20
military,0,liberal,10/18/20
military,0,liberal,10/19/20
military,0,liberal,10/20/20
military,0,liberal,10/21/20
military,1,liberal,10/22/20
military,0,liberal,10/23/20
military,0,liberal,10/24/20
military,0,liberal,10/25/20
